dt,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_pct_change,djia_pct_change
2016-12-09,11.75,2259.530029,3884480000.0,19756.85,334.47,22760.980469,0.242592,0.54,1,115.152050857694,71.0851440429688,2246.189941,0.5938984836723504,0.7241467034347915
2016-12-12,12.64,2256.959961,4034510000.0,19796.43,333.66,22433.019531,0.295559,0.51,1,115.152050857694,95.4974517822266,2259.530029,-0.11374347616602831,0.20033557981156136
2016-12-13,12.72,2271.719971,3857590000.0,19911.21,388.42,22446.699219,0.310184,0.54,1,115.152050857694,137.071762084961,2256.959961,0.6539774854251279,0.5798015096661224
2016-12-14,13.19,2253.280029,4406970000.0,19792.53,408.43,22456.619141,0.323337,0.55,1,115.152050857694,110.947242736816,2271.719971,-0.811717211425611,-0.5960461468690226
2016-12-15,12.79,2262.030029,4168200000.0,19852.24,357.35,22059.400391,0.335025,0.51,1,115.152050857694,108.933471679688,2253.280029,0.3883227955418844,0.30167947200283596
2016-12-16,12.2,2258.070068,5920340000.0,19843.41,573.47,22020.75,0.34525,0.51,1,115.152050857694,107.91650390625,2262.030029,-0.17506226483432474,-0.04447860795558922
2016-12-19,11.71,2262.530029,3248370000.0,19883.06,302.31,21832.679688,0.36671,0.52,1,115.152050857694,85.8813781738281,2258.070068,0.19751207295131135,0.19981444721446362
2016-12-20,11.45,2270.76001,3298780000.0,19974.62,284.08,21729.060547,0.370153,0.52,1,115.152050857694,114.642601013184,2262.530029,0.3637512384150554,0.46049249964541517
2016-12-21,11.27,2265.179932,2852230000.0,19941.96,256.64,21809.800781,0.371664,0.52,1,115.152050857694,195.184967041016,2270.76001,-0.24573614012164402,-0.1635074910060874
2016-12-22,11.43,2260.959961,2876320000.0,19918.88,258.29,21636.199219,0.371243,0.51,1,115.152050857694,125.217338562012,2265.179932,-0.18629738593322065,-0.1157358654816143
2016-12-23,11.44,2263.790039,2020550000.0,19933.81,158.26,21574.759766,0.368889,0.52,1,115.152050857694,182.836532592773,2260.959961,0.12517152222140115,0.07495401347867858
2016-12-27,11.99,2268.879883,1987080000.0,19945.04,158.54,21574.759766,0.33873,0.51,1,115.152050857694,90.8684387207031,2263.790039,0.22483728227060684,0.05633644546627625
2016-12-28,12.95,2249.919922,2392360000.0,19833.68,188.35,21754.740234,0.325295,0.53,1,115.152050857694,127.406455993652,2268.879883,-0.83565292028287,-0.5583343026637211
2016-12-29,13.37,2249.26001,2336370000.0,19819.78,172.04,21790.910156,0.309445,0.47,1,115.152050857694,98.7843246459961,2249.919922,-0.029330466100030428,-0.07008280863662897
2016-12-30,14.04,2238.830078,2670900000.0,19762.6,271.91,22000.560547,0.291175,0.51,1,115.152050857694,206.666427612305,2249.26001,-0.4637050387073738,-0.28849967053116155
2017-01-03,12.85,2257.830078,3770530000.0,19881.76,339.18,22150.400391,0.202582,0.53,1,134.869527096033,121.974388122559,2238.830078,0.8486575281753117,0.6029571007863277
2017-01-04,11.85,2270.75,3764890000.0,19942.16,280.01,22134.470703,0.180936,0.53,1,134.869527096033,108.890632629395,2257.830078,0.5722273844205539,0.3037960422014985
2017-01-05,11.67,2269.0,3761820000.0,19899.29,269.92,22456.689453,0.159767,0.52,1,134.869527096033,68.1382598876953,2270.75,-0.0770670483320468,-0.21497169815104522
2017-01-06,11.32,2276.97998,3339890000.0,19963.8,277.7,22503.009766,0.139068,0.53,1,134.869527096033,129.061080932617,2269.0,0.351695901278104,0.3241824205788113
2017-01-09,11.56,2268.899902,3217610000.0,19887.38,287.51,22558.689453,0.0794221,0.5,1,134.869527096033,161.027603149414,2276.97998,-0.3548594221719936,-0.3827928550676596
2017-01-10,11.49,2268.899902,3638790000.0,19855.53,299.41,22744.849609,0.0599464,0.52,1,134.869527096033,66.4729309082031,2268.899902,0.0,-0.16015181486953578
2017-01-11,11.26,2275.320068,3620410000.0,19954.28,336.15,22935.349609,0.0406129,0.52,1,134.869527096033,137.61408996582,2268.899902,0.282963827286542,0.49734255393838467
2017-01-12,11.54,2270.439941,3462130000.0,19891.0,306.29,22829.019531,0.0214141,0.52,1,134.869527096033,129.810333251953,2275.320068,-0.2144809017699867,-0.3171249476302762
2017-01-13,11.23,2274.639893,3081270000.0,19885.73,263.78,22937.380859,0.0023424,0.53,1,134.869527096033,127.044502258301,2270.439941,0.18498406076092877,-0.02649439444974977
2017-01-17,11.87,2267.889893,3584990000.0,19826.77,341.9,22840.970703,-0.0708406,0.55,1,134.869527096033,100.71996307373,2274.639893,-0.2967502689446566,-0.2964940185751219
2017-01-18,12.48,2271.889893,3315250000.0,19804.72,279.76,23098.259766,-0.0874052,0.53,1,134.869527096033,102.498573303223,2267.889893,0.17637540571728838,-0.11121327377076051
2017-01-19,12.78,2263.689941,3165970000.0,19732.4,301.75,23049.960938,-0.103225,0.52,1,134.869527096033,125.666450500488,2271.889893,-0.3609308719258353,-0.3651654757047762
2017-01-20,11.54,2271.310059,3524970000.0,19827.25,435.26,22885.910156,-0.118306,0.5,1,134.869527096033,104.655303955078,2263.689941,0.33662375142391454,0.4806815187204716
2017-01-23,11.77,2265.199951,3152710000.0,19799.85,326.69,22898.519531,-0.160038,0.51,1,134.869527096033,111.450874328613,2271.310059,-0.2690125012121847,-0.13819364763142383
2017-01-24,11.07,2280.070068,3810960000.0,19912.71,374.46,22949.859375,-0.173948,0.51,1,134.869527096033,96.9780960083008,2265.199951,0.6564593555387965,0.5700043182145453
2017-01-25,10.81,2298.370117,3846020000.0,20068.51,372.24,23049.119141,-0.188011,0.5,1,134.869527096033,104.376091003418,2280.070068,0.8026090626263915,0.7824148496111238
2017-01-26,10.63,2296.679932,3610360000.0,20100.91,356.73,23374.169922,-0.202233,0.51,1,134.869527096033,111.431945800781,2298.370117,-0.07353841696332575,0.16144696342679232
2017-01-27,10.58,2294.689941,3135890000.0,20093.78,343.13,23360.779297,-0.216618,0.52,1,134.869527096033,119.157112121582,2296.679932,-0.08664642261523303,-0.035471030913525325
2017-01-30,11.88,2280.899902,3591270000.0,19971.13,317.28,23360.779297,-0.26093,0.51,1,134.869527096033,166.489547729492,2294.689941,-0.6009543491523051,-0.6103878911782545
2017-01-31,11.99,2278.870117,4087450000.0,19864.09,373.75,23360.779297,-0.276257,0.52,1,134.869527096033,188.690567016602,2280.899902,-0.08899053387745326,-0.5359736780041979
2017-02-01,11.81,2279.550049,3916610000.0,19890.94,426.67,23318.390625,-0.29189,0.51,1,133.33148175075,150.571258544922,2278.870117,0.029836364737412246,0.13516853779860227
2017-02-02,11.93,2280.850098,3807710000.0,19884.91,347.22,23184.519531,-0.30676,0.52,1,133.33148175075,166.102966308594,2279.550049,0.05703094786491114,-0.030315309382056288
2017-02-03,10.97,2297.419922,3597970000.0,20071.46,344.22,23129.210938,-0.320873,0.51,1,133.33148175075,184.031539916992,2280.850098,0.7264758001645832,0.9381485759804686
2017-02-06,11.37,2292.560059,3109050000.0,20052.42,281.72,23348.240234,-0.358107,0.53,1,133.33148175075,83.5602645874023,2297.419922,-0.21153568633501818,-0.09486106142752027
2017-02-07,11.29,2293.080078,3448690000.0,20090.29,279.67,23331.570313,-0.368015,0.53,1,133.33148175075,184.341873168945,2292.560059,0.02268289539280044,0.18885501101613134
2017-02-08,11.45,2294.669922,3609740000.0,20054.34,280.41,23485.130859,-0.376576,0.54,1,133.33148175075,101.925163269043,2293.080078,0.06933224946015226,-0.178942165593432
2017-02-09,10.88,2307.870117,3677940000.0,20172.4,325.31,23525.140625,-0.383794,0.54,1,133.33148175075,92.3006439208984,2294.669922,0.5752546313281925,0.5887005007394919
2017-02-10,10.85,2316.100098,3475020000.0,20269.37,312.23,23574.980469,-0.389672,0.55,1,133.33148175075,212.408935546875,2307.870117,0.35660503333254656,0.480706311594048
2017-02-13,11.07,2328.25,3349730000.0,20412.16,314.62,23710.980469,-0.399235,0.52,1,133.33148175075,132.02262878418,2316.100098,0.524584494879643,0.7044619541702657
